GO Term	Description	P-value	FDR q-value	Enrichment	N	B	n	b	Genes
GO:0002684	positive regulation of immune system process	1.43E-7	2E-4	2.35	17535	997	381	51	[ITK  -  il2-inducible t-cell kinase, FAM210B  -  family with sequence similarity 210, member b, ADAM17  -  adam metallopeptidase domain 17, CD46  -  cd46 molecule, complement regulatory protein, PLCG2  -  phospholipase c, gamma 2 (phosphatidylinositol-specific), LIME1  -  lck interacting transmembrane adaptor 1, ZCCHC3  -  zinc finger, cchc domain containing 3, PLD2  -  phospholipase d2, TREML4  -  triggering receptor expressed on myeloid cells-like 4, ISG15  -  isg15 ubiquitin-like modifier, FCER1G  -  fc fragment of ige, high affinity i, receptor for; gamma polypeptide, PYCARD  -  pyd and card domain containing, GPRC5B  -  g protein-coupled receptor, family c, group 5, member b, PLEKHA1  -  pleckstrin homology domain containing, family a (phosphoinositide binding specific) member 1, SPHK2  -  sphingosine kinase 2, HAVCR1  -  hepatitis a virus cellular receptor 1, BLNK  -  b-cell linker, HLA-DQA1  -  major histocompatibility complex, class ii, dq alpha 1, PSMA5  -  proteasome (prosome, macropain) subunit, alpha type, 5, HLA-DQB1  -  major histocompatibility complex, class ii, dq beta 1, DAPK2  -  death-associated protein kinase 2, HLA-DRB1  -  major histocompatibility complex, class ii, dr beta 1, APP  -  amyloid beta (a4) precursor protein, PSMB6  -  proteasome (prosome, macropain) subunit, beta type, 6, ZBTB46  -  zinc finger and btb domain containing 46, PSMC3  -  proteasome (prosome, macropain) 26s subunit, atpase, 3, PHB  -  prohibitin, PSMC6  -  proteasome (prosome, macropain) 26s subunit, atpase, 6, LILRB2  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 2, INPP5D  -  inositol polyphosphate-5-phosphatase, 145kda, TREM2  -  triggering receptor expressed on myeloid cells 2, IL34  -  interleukin 34, STK11  -  serine/threonine kinase 11, RHOH  -  ras homolog family member h, SCIMP  -  slp adaptor and csk interacting membrane protein, ADAM10  -  adam metallopeptidase domain 10, STX4  -  syntaxin 4, FOXF1  -  forkhead box f1, MAPK3  -  mitogen-activated protein kinase 3, RBCK1  -  ranbp-type and c3hc4-type zinc finger containing 1, NCK2  -  nck adaptor protein 2, SOX12  -  sry (sex determining region y)-box 12, TNIP1  -  tnfaip3 interacting protein 1, CLU  -  clusterin, CTSB  -  cathepsin b, ITGA2B  -  integrin, alpha 2b (platelet glycoprotein iib of iib/iiia complex, antigen cd41), HAVCR2  -  hepatitis a virus cellular receptor 2, CR1  -  complement component (3b/4b) receptor 1 (knops blood group), RIOK3  -  rio kinase 3, CR2  -  complement component (3d/epstein barr virus) receptor 2, NR1H3  -  nuclear receptor subfamily 1, group h, member 3]
GO:0034205	amyloid-beta formation	3.34E-7	4.28E-4	350.70	17535	10	15	3	[ADAM10  -  adam metallopeptidase domain 10, APH1B  -  aph1b gamma secretase subunit, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7]
GO:1901076	positive regulation of engulfment of apoptotic cell	4.68E-7	5.53E-4	1,948.33	17535	2	9	2	[TREM2  -  triggering receptor expressed on myeloid cells 2, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7]
GO:1902003	regulation of amyloid-beta formation	5.17E-7	5.67E-4	105.47	17535	35	19	4	[CLU  -  clusterin, APOE  -  apolipoprotein e, PICALM  -  phosphatidylinositol binding clathrin assembly protein, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7]
GO:0001775	cell activation	1.02E-6	1.04E-3	2.79	17535	986	210	33	[ALDOA  -  aldolase a, fructose-bisphosphate, ITK  -  il2-inducible t-cell kinase, ADAM17  -  adam metallopeptidase domain 17, MPO  -  myeloperoxidase, QPCT  -  glutaminyl-peptide cyclotransferase, LILRB2  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 2, PLCG2  -  phospholipase c, gamma 2 (phosphatidylinositol-specific), TREM2  -  triggering receptor expressed on myeloid cells 2, FCER1G  -  fc fragment of ige, high affinity i, receptor for; gamma polypeptide, CD33  -  cd33 molecule, CNN2  -  calponin 2, RHOH  -  ras homolog family member h, GP1BA  -  glycoprotein ib (platelet), alpha polypeptide, ADAM10  -  adam metallopeptidase domain 10, NCK2  -  nck adaptor protein 2, GRN  -  granulin, BLNK  -  b-cell linker, CLU  -  clusterin, CTSB  -  cathepsin b, MME  -  membrane metallo-endopeptidase, HMHA1  -  histocompatibility (minor) ha-1, LAIR1  -  leukocyte-associated immunoglobulin-like receptor 1, CTSH  -  cathepsin h, TSPAN14  -  tetraspanin 14, APP  -  amyloid beta (a4) precursor protein, SPI1  -  spleen focus forming virus (sffv) proviral integration oncogene, LILRB3  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 3, HAVCR2  -  hepatitis a virus cellular receptor 2, TREML1  -  triggering receptor expressed on myeloid cells-like 1, PSMC3  -  proteasome (prosome, macropain) 26s subunit, atpase, 3, TREML2  -  triggering receptor expressed on myeloid cells-like 2, PHB  -  prohibitin, DGKQ  -  diacylglycerol kinase, theta 110kda]
GO:1902991	regulation of amyloid precursor protein catabolic process	1.02E-6	9.84E-4	90.04	17535	41	19	4	[CLU  -  clusterin, APOE  -  apolipoprotein e, PICALM  -  phosphatidylinositol binding clathrin assembly protein, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7]
GO:0032270	positive regulation of cellular protein metabolic process	1.03E-6	9.34E-4	4.67	17535	1542	39	16	[CLU  -  clusterin, ADAM17  -  adam metallopeptidase domain 17, CASS4  -  cas scaffolding protein family member 4, APOE  -  apolipoprotein e, TREM2  -  triggering receptor expressed on myeloid cells 2, LILRA5  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 5, APH1B  -  aph1b gamma secretase subunit, ACE  -  angiotensin i converting enzyme, SPI1  -  spleen focus forming virus (sffv) proviral integration oncogene, PICALM  -  phosphatidylinositol binding clathrin assembly protein, CD33  -  cd33 molecule, SCIMP  -  slp adaptor and csk interacting membrane protein, DGKQ  -  diacylglycerol kinase, theta 110kda, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7, NCK2  -  nck adaptor protein 2, GRN  -  granulin]
GO:0045937	positive regulation of phosphate metabolic process	1.27E-6	1.09E-3	10.58	17535	1105	12	8	[SCIMP  -  slp adaptor and csk interacting membrane protein, ADAM17  -  adam metallopeptidase domain 17, APOE  -  apolipoprotein e, EPHA1  -  eph receptor a1, TREM2  -  triggering receptor expressed on myeloid cells 2, LILRA5  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 5, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7, CD33  -  cd33 molecule]
GO:0010562	positive regulation of phosphorus metabolic process	1.27E-6	1.03E-3	10.58	17535	1105	12	8	[SCIMP  -  slp adaptor and csk interacting membrane protein, ADAM17  -  adam metallopeptidase domain 17, APOE  -  apolipoprotein e, EPHA1  -  eph receptor a1, TREM2  -  triggering receptor expressed on myeloid cells 2, LILRA5  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 5, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7, CD33  -  cd33 molecule]
GO:1901074	regulation of engulfment of apoptotic cell	1.39E-6	1.07E-3	1,298.89	17535	3	9	2	[TREM2  -  triggering receptor expressed on myeloid cells 2, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7]
GO:1905908	positive regulation of amyloid fibril formation	1.52E-6	1.11E-3	141.41	17535	4	93	3	[CLU  -  clusterin, APOE  -  apolipoprotein e, APP  -  amyloid beta (a4) precursor protein]
GO:0051247	positive regulation of protein metabolic process	1.89E-6	1.32E-3	4.45	17535	1616	39	16	[CLU  -  clusterin, ADAM17  -  adam metallopeptidase domain 17, CASS4  -  cas scaffolding protein family member 4, APOE  -  apolipoprotein e, TREM2  -  triggering receptor expressed on myeloid cells 2, LILRA5  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 5, APH1B  -  aph1b gamma secretase subunit, ACE  -  angiotensin i converting enzyme, SPI1  -  spleen focus forming virus (sffv) proviral integration oncogene, PICALM  -  phosphatidylinositol binding clathrin assembly protein, CD33  -  cd33 molecule, SCIMP  -  slp adaptor and csk interacting membrane protein, DGKQ  -  diacylglycerol kinase, theta 110kda, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7, NCK2  -  nck adaptor protein 2, GRN  -  granulin]
GO:0045321	leukocyte activation	2.22E-6	1.48E-3	2.87	17535	873	210	30	[ALDOA  -  aldolase a, fructose-bisphosphate, ITK  -  il2-inducible t-cell kinase, ADAM17  -  adam metallopeptidase domain 17, MPO  -  myeloperoxidase, QPCT  -  glutaminyl-peptide cyclotransferase, LILRB2  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 2, PLCG2  -  phospholipase c, gamma 2 (phosphatidylinositol-specific), TREM2  -  triggering receptor expressed on myeloid cells 2, FCER1G  -  fc fragment of ige, high affinity i, receptor for; gamma polypeptide, CD33  -  cd33 molecule, CNN2  -  calponin 2, RHOH  -  ras homolog family member h, ADAM10  -  adam metallopeptidase domain 10, NCK2  -  nck adaptor protein 2, GRN  -  granulin, BLNK  -  b-cell linker, CLU  -  clusterin, CTSB  -  cathepsin b, MME  -  membrane metallo-endopeptidase, HMHA1  -  histocompatibility (minor) ha-1, LAIR1  -  leukocyte-associated immunoglobulin-like receptor 1, CTSH  -  cathepsin h, TSPAN14  -  tetraspanin 14, APP  -  amyloid beta (a4) precursor protein, SPI1  -  spleen focus forming virus (sffv) proviral integration oncogene, LILRB3  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 3, HAVCR2  -  hepatitis a virus cellular receptor 2, PSMC3  -  proteasome (prosome, macropain) 26s subunit, atpase, 3, TREML2  -  triggering receptor expressed on myeloid cells-like 2, PHB  -  prohibitin]
GO:0002768	immune response-regulating cell surface receptor signaling pathway	3.3E-6	2.11E-3	3.25	17535	340	381	24	[ITK  -  il2-inducible t-cell kinase, HLA-DQA1  -  major histocompatibility complex, class ii, dq alpha 1, PSMA5  -  proteasome (prosome, macropain) subunit, alpha type, 5, HLA-DQB1  -  major histocompatibility complex, class ii, dq beta 1, HLA-DRB1  -  major histocompatibility complex, class ii, dr beta 1, LILRB2  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 2, PLCG2  -  phospholipase c, gamma 2 (phosphatidylinositol-specific), INPP5D  -  inositol polyphosphate-5-phosphatase, 145kda, LIME1  -  lck interacting transmembrane adaptor 1, PLD2  -  phospholipase d2, PSMB6  -  proteasome (prosome, macropain) subunit, beta type, 6, MS4A2  -  membrane-spanning 4-domains, subfamily a, member 2, FCER1G  -  fc fragment of ige, high affinity i, receptor for; gamma polypeptide, STK11  -  serine/threonine kinase 11, CR1  -  complement component (3b/4b) receptor 1 (knops blood group), CR2  -  complement component (3d/epstein barr virus) receptor 2, PLEKHA1  -  pleckstrin homology domain containing, family a (phosphoinositide binding specific) member 1, PSMC3  -  proteasome (prosome, macropain) 26s subunit, atpase, 3, PSMC6  -  proteasome (prosome, macropain) 26s subunit, atpase, 6, LILRA4  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 4, MAPK3  -  mitogen-activated protein kinase 3, RBCK1  -  ranbp-type and c3hc4-type zinc finger containing 1, MAPK9  -  mitogen-activated protein kinase 9, BLNK  -  b-cell linker]
GO:0002274	myeloid leukocyte activation	3.65E-6	2.24E-3	3.36	17535	571	210	23	[ALDOA  -  aldolase a, fructose-bisphosphate, CLU  -  clusterin, CTSB  -  cathepsin b, MME  -  membrane metallo-endopeptidase, HMHA1  -  histocompatibility (minor) ha-1, MPO  -  myeloperoxidase, LAIR1  -  leukocyte-associated immunoglobulin-like receptor 1, CTSH  -  cathepsin h, QPCT  -  glutaminyl-peptide cyclotransferase, LILRB2  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 2, TSPAN14  -  tetraspanin 14, APP  -  amyloid beta (a4) precursor protein, TREM2  -  triggering receptor expressed on myeloid cells 2, SPI1  -  spleen focus forming virus (sffv) proviral integration oncogene, LILRB3  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 3, FCER1G  -  fc fragment of ige, high affinity i, receptor for; gamma polypeptide, HAVCR2  -  hepatitis a virus cellular receptor 2, CD33  -  cd33 molecule, CNN2  -  calponin 2, RHOH  -  ras homolog family member h, PSMC3  -  proteasome (prosome, macropain) 26s subunit, atpase, 3, ADAM10  -  adam metallopeptidase domain 10, GRN  -  granulin]
GO:0031293	membrane protein intracellular domain proteolysis	4.13E-6	2.44E-3	175.35	17535	20	15	3	[ADAM17  -  adam metallopeptidase domain 17, ADAM10  -  adam metallopeptidase domain 10, APH1B  -  aph1b gamma secretase subunit]
GO:0051174	regulation of phosphorus metabolic process	4.72E-6	2.69E-3	4.15	17535	1732	39	16	[CLU  -  clusterin, ADAM17  -  adam metallopeptidase domain 17, CASS4  -  cas scaffolding protein family member 4, APOE  -  apolipoprotein e, EPHA1  -  eph receptor a1, LIME1  -  lck interacting transmembrane adaptor 1, TREM2  -  triggering receptor expressed on myeloid cells 2, LILRA5  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 5, ACE  -  angiotensin i converting enzyme, SPI1  -  spleen focus forming virus (sffv) proviral integration oncogene, CD33  -  cd33 molecule, RHOH  -  ras homolog family member h, SCIMP  -  slp adaptor and csk interacting membrane protein, DGKQ  -  diacylglycerol kinase, theta 110kda, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7, NCK2  -  nck adaptor protein 2]
GO:0019220	regulation of phosphate metabolic process	4.72E-6	2.59E-3	4.15	17535	1732	39	16	[CLU  -  clusterin, ADAM17  -  adam metallopeptidase domain 17, CASS4  -  cas scaffolding protein family member 4, APOE  -  apolipoprotein e, EPHA1  -  eph receptor a1, LIME1  -  lck interacting transmembrane adaptor 1, TREM2  -  triggering receptor expressed on myeloid cells 2, LILRA5  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 5, ACE  -  angiotensin i converting enzyme, SPI1  -  spleen focus forming virus (sffv) proviral integration oncogene, CD33  -  cd33 molecule, RHOH  -  ras homolog family member h, SCIMP  -  slp adaptor and csk interacting membrane protein, DGKQ  -  diacylglycerol kinase, theta 110kda, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7, NCK2  -  nck adaptor protein 2]
