"Gene Symbol","Nominations","Year First Nominated","Nominating Teams","Cohort Study","Program","Input Data","Pharos Class","Small Molecule Druggability","Safety Rating","Antibody Modality"
"BIN1","3","2018","ASU, Duke, Mayo-UFL-ISB","ADNI, Mayo, VirusResilience","AMP-AD","Genetics, Metabolomics, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities."
"CTSH","3","2020","Emory, Emory-Sage-SGC","Banner, https://doi.org/10.1038/s41588-018-0311-9; https://doi.org/10.1038/s41588-019-0358-2, ROSMAP","AMP-AD, TREAT-AD","Genetics, Protein","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"DBI","3","2018","Columbia-Rush, Emory, MSSM - Zhang Lab","ACT, Banner, BLSA, MSBB, ROSMAP","AMP-AD","Clinical, Genetics, Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate. "
"DNM1","3","2018","Chang Lab, Emory, MSSM - Zhang Lab","ACT, Banner, BLSA, Kronos, Mayo, MSBB, ROSMAP","AMP-AD, Community","Genetics, Protein, RNA","Tbio","2: Targetable by homology: >=40% homologous to a protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"ERBB3","3","2018","ASU, Columbia-Rush, Mayo-UFL-ISB","Mayo, ROSMAP, VirusResilience","AMP-AD","Clinical, Genetics, Protein, RNA","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","1: Secreted protein. Highly accessible to antibody-based therapies."
"GSN","3","2018","Chang Lab, Columbia-Rush, MSSM - Zhang Lab","Kronos, MSBB, ROSMAP, Rush","AMP-AD, Community","Clinical, Genetics, Protein, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"HTRA1","3","2018","Emory, Mayo-UFL-ISB, MSSM - Roussos Lab","APP Mice, Banner, Emory, HBI_scRNAseq, MSBB, ROSMAP","AMP-AD","Protein, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"MDK","3","2018","Emory, Emory-Sage-SGC, Mayo-UFL-ISB","Banner, Emory, Mayo, MSBB, ROSMAP","AMP-AD, TREAT-AD","Protein, RNA","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"NDUFA10","3","2018","Chang Lab, Emory, MSSM - Zhang Lab","ACT, Banner, BLSA, MSBB","AMP-AD, Community","Genetics, Protein","Tclin","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","1: Secreted protein. Highly accessible to antibody-based therapies."
"NRN1","3","2018","Columbia-Rush, MSSM - Zhang Lab","MSBB, ROSMAP","AMP-AD","Clinical, Genetics, Protein, RNA","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"PDHB","3","2018","Chang Lab, Columbia-Rush, Emory","ACT, Banner, BLSA, MSBB, ROSMAP","AMP-AD, Community","Clinical, Genetics, Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"RABEP1","3","2018","Duke, Emory-Sage-SGC, MSSM - Roussos Lab","ADNI, Banner, FreshMicro, ROSMAP","AMP-AD, TREAT-AD","Genetics, Metabolomics, Protein, RNA","Tbio","11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"RUFY3","3","2018","Duke, Emory, MSSM - Roussos Lab","ACT, ADNI, Banner, BLSA, HBI_scRNAseq","AMP-AD","Genetics, Metabolomics, Protein, RNA","Tdark","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities."
"SEPTIN5","3","2018","ASU, Emory, MSSM - Zhang Lab","ACT, Banner, BLSA, MSBB, VirusResilience","AMP-AD","Protein, RNA","Tbio","4: Targetable by homologous structure: >=40% homologous to a structurally druggable protein, based on the presence of a druggable pocket in the homologous protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities."
"SFRP1","3","2018","Emory, Emory-Sage-SGC, Mayo-UFL-ISB","APP Mice, Banner, Emory, MSBB, ROSMAP","AMP-AD, TREAT-AD","Protein","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"SLC25A11","3","2018","Chang Lab, Columbia-Rush, Emory","ACT, Banner, BLSA, MSBB, ROSMAP","AMP-AD, Community","Clinical, Genetics, Protein, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"SNX32","3","2020","Emory, Emory-Sage-SGC","Banner, https://doi.org/10.1038/s41588-018-0311-9; https://doi.org/10.1038/s41588-019-0358-2, ROSMAP","AMP-AD, TREAT-AD","Genetics, Protein","Tdark","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"SYK","3","2018","Emory-Sage-SGC, IUSM-Purdue, MSSM - Zhang Lab","ABA, Banner, GSE33000, GSE44772, GSE48350, GSE5281, Mayo, MSBB, ROSMAP","AMP-AD, TREAT-AD","Genetics, Protein, RNA","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"SYNGAP1","3","2018","Chang Lab, Emory, MSSM - Zhang Lab","ACT, Banner, BLSA, MSBB","AMP-AD, Community","Genetics, Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"SYT1","3","2018","Chang Lab, Emory, MSSM - Zhang Lab","ACT, Banner, BLSA, Kronos, Mayo, MSBB, ROSMAP, Rush","AMP-AD, Community","Genetics, Protein, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TYROBP","3","2018","IUSM-Purdue, Mayo-UFL-ISB, MSSM - Zhang Lab","ABA, GSE33000, GSE44772, GSE48350, GSE5281, HBTRC, Mayo, MSBB, ROSMAP","AMP-AD, TREAT-AD","Genetics, RNA","Tbio","11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"ABI3","2","2018","IUSM-Purdue, Mayo-UFL-ISB","ABA, GSE33000, GSE44772, GSE48350, GSE5281, Mayo, MSBB, ROSMAP","AMP-AD, TREAT-AD","RNA","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate. "
"ADAMTS4","2","2018","ASU, Duke","ADNI, VirusResilience","AMP-AD","Genetics, Metabolomics, RNA","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"ANKS1B","2","2018","Emory, MSSM - Zhang Lab","ACT, Banner, BLSA, MSBB","AMP-AD","Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"AP2B1","2","2018","Chang Lab, Emory","ACT, Banner, BLSA, MSBB, Rush","AMP-AD, Community","Genetics, Protein, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"APOC1","2","2018","Duke, MSSM - Roussos Lab","ADNI, FreshMicro","AMP-AD","Genetics, Metabolomics, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"ATP1B1","2","2018","Chang Lab, Columbia-Rush","Kronos, Mayo, MSBB, ROSMAP, Rush","AMP-AD, Community","Clinical, Genetics, Protein, RNA","Tclin","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"ATP2A2","2","2018","Columbia-Rush, Emory","ACT, Banner, BLSA, ROSMAP","AMP-AD","Clinical, Protein","Tbio","2: Targetable by homology: >=40% homologous to a protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"ATP2B1","2","2018","Emory, MSSM - Zhang Lab","ACT, Banner, BLSA, MSBB","AMP-AD","Genetics, Protein, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"ATP6V1A","2","2018","Chang Lab, MSSM - Zhang Lab","Kronos, Mayo, MSBB, ROSMAP, Rush","AMP-AD, Community","Genetics, Protein, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"C1QTNF4","2","2018","Columbia-Rush, Mayo-UFL-ISB","Mayo, ROSMAP","AMP-AD","Clinical, Genetics, Protein, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"C4A","2","2018","Columbia-Rush, Emory-Sage-SGC","ACT, Banner, BLSA, ROSMAP","AMP-AD, TREAT-AD","Clinical, Genetics, Protein, RNA","No value","No value","No value","No value"
"CACNB4","2","2018","MSSM - Roussos Lab, MSSM - Zhang Lab","HBI_scRNAseq, MSBB","AMP-AD","Genetics, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"CAPN2","2","2018","Emory, Emory-Sage-SGC","ACT, Banner, BLSA","AMP-AD, TREAT-AD","Protein","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"CD44","2","2018","Emory, Emory-Sage-SGC","ACT, Banner, BLSA","AMP-AD, TREAT-AD","Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"CDK18","2","2019","Chang Lab, Mayo-UFL-ISB","GSE197305, Kronos, Mayo, MC-CAA, ROSMAP, Rush","AMP-AD, Community","Genetics, Protein, RNA","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"CHADL","2","2018","Columbia-Rush, Emory","ROSMAP, syn20933797, syn52525880","AMP-AD","Clinical, Genetics, Protein, RNA","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","1: Secreted protein. Highly accessible to antibody-based therapies."
"CIRBP","2","2019","Chang Lab, MSSM - Roussos Lab","HBI_scRNAseq, Kronos, Mayo, ROSMAP","AMP-AD, Community","Genetics, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"CLIC1","2","2018","Chang Lab, MSSM - Zhang Lab","Kronos, Mayo, MSBB, ROSMAP, Rush","AMP-AD, Community","Genetics, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"COL25A1","2","2018","Emory, Mayo-UFL-ISB","APP Mice, Banner, Emory, MSBB, ROSMAP","AMP-AD","Protein","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","2: Component of the extracellular matrix (ECM). Highly accessible to antibody-based therapies, but potentially less so than secreted proteins."
"CPLX1","2","2018","Columbia-Rush, Emory","https://doi.org/10.1038/s41588-018-0311-9; https://doi.org/10.1038/s41588-019-0358-2, ROSMAP","AMP-AD","Clinical, Genetics, Protein","Tbio","12: Potentially low ligandability: Has a structure but there is no evidence of a druggable pocket.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"CS","2","2018","Chang Lab, Columbia-Rush","MSBB, ROSMAP","AMP-AD, Community","Clinical, Genetics, Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"CSF1R","2","2018","IUSM-Purdue, Mayo-UFL-ISB","ABA, GSE33000, GSE44772, GSE48350, GSE5281, Mayo, MSBB, ROSMAP","AMP-AD, TREAT-AD","RNA","Tclin","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","1: Secreted protein. Highly accessible to antibody-based therapies."
"CSMD1","2","2018","Duke, MSSM - Zhang Lab","ADNI, MSBB","AMP-AD","Genetics, Metabolomics, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"CYBA","2","2019","Chang Lab, IUSM-Purdue","ABA, GSE33000, GSE44772, GSE48350, GSE5281, Kronos, Mayo, MSBB, ROSMAP, Rush","Community, TREAT-AD","Genetics, RNA","Tbio","12: Potentially low ligandability: Has a structure but there is no evidence of a druggable pocket.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"DDAH2","2","2018","Columbia-Rush, Emory","ACT, Banner, BLSA, ROSMAP","AMP-AD","Clinical, Protein","Tbio","11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"DLGAP2","2","2021","JAX-VUMC-UW Resilience, MSSM - Zhang Lab","Diversity outbred mice, MSBB, ROSMAP","AMP-AD, Resilience-AD","Clinical, Genetics, Protein, RNA","Tbio","4: Targetable by homologous structure: >=40% homologous to a structurally druggable protein, based on the presence of a druggable pocket in the homologous protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate. "
"DOC2A","2","2020","Emory","Banner, https://doi.org/10.1038/s41588-018-0311-9; https://doi.org/10.1038/s41588-019-0358-2, ROSMAP","AMP-AD","Genetics, Protein","Tbio","12: Potentially low ligandability: Has a structure but there is no evidence of a druggable pocket.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
